,genres
362,"['thriller', 'european']"
363,"['comedy', 'drama', 'animation', 'romance']"
364,"['family', 'action', 'animation', 'comedy']"
365,['comedy']
366,"['scifi', 'animation', 'action', 'drama', 'war']"
367,"['action', 'scifi', 'family', 'fantasy', 'animation', 'european']"
368,"['family', 'comedy']"
369,"['action', 'crime', 'drama', 'thriller']"
370,"['animation', 'drama', 'action', 'scifi', 'thriller', 'fantasy', 'horror', 'romance']"
371,"['comedy', 'drama', 'romance']"
372,"['drama', 'family']"
373,"['comedy', 'drama', 'romance']"
374,"['animation', 'comedy', 'family', 'action', 'fantasy']"
375,"['animation', 'comedy', 'family', 'european']"
376,"['animation', 'comedy', 'family', 'fantasy', 'european']"
377,"['thriller', 'action', 'crime', 'european']"
378,"['action', 'animation', 'comedy', 'thriller', 'scifi', 'family', 'romance', 'fantasy']"
379,"['comedy', 'family', 'fantasy', 'horror', 'music', 'animation', 'scifi']"
380,"['comedy', 'family']"
381,"['drama', 'comedy', 'romance', 'sport']"
382,"['comedy', 'documentation']"
383,"['animation', 'family', 'comedy', 'action', 'romance']"
384,"['scifi', 'family', 'animation', 'action']"
385,"['action', 'drama']"
386,"['scifi', 'animation', 'comedy', 'drama']"
387,['comedy']
388,"['crime', 'thriller', 'drama', 'action', 'animation', 'romance', 'comedy']"
389,"['animation', 'action', 'fantasy', 'family']"
390,['drama']
391,"['fantasy', 'animation', 'family']"
392,"['fantasy', 'action', 'animation']"
393,"['crime', 'drama', 'action', 'thriller', 'european']"
394,"['thriller', 'action', 'drama', 'crime']"
395,"['comedy', 'romance', 'action', 'animation', 'family', 'fantasy', 'european']"
396,"['comedy', 'crime']"
397,"['animation', 'comedy', 'drama', 'family', 'scifi', 'action']"
398,"['documentation', 'crime', 'drama', 'romance', 'action']"
399,"['drama', 'european', 'history']"
400,"['comedy', 'documentation']"
401,['animation']
402,['drama']
403,"['thriller', 'drama', 'action', 'comedy', 'fantasy', 'romance']"
404,"['comedy', 'crime']"
405,['comedy']
406,"['drama', 'romance']"
407,"['drama', 'romance', 'comedy']"
408,"['romance', 'comedy', 'drama']"
409,"['horror', 'thriller', 'documentation', 'war', 'european']"
410,"['crime', 'history', 'action', 'drama']"
411,"['action', 'animation', 'comedy', 'family']"
412,"['romance', 'history', 'war', 'action', 'drama']"
413,"['action', 'animation', 'scifi', 'comedy', 'family', 'western']"
414,['drama']
415,"['comedy', 'documentation']"
416,"['comedy', 'action', 'crime', 'drama']"
417,"['drama', 'comedy']"
418,"['action', 'animation', 'fantasy']"
419,"['drama', 'european']"
420,"['comedy', 'crime', 'action', 'scifi', 'drama', 'thriller']"
421,"['animation', 'comedy', 'family', 'music', 'fantasy', 'european']"
422,"['fantasy', 'horror', 'family', 'comedy']"
423,"['drama', 'history', 'comedy', 'crime']"
424,"['drama', 'action']"
425,['drama']
426,"['animation', 'comedy', 'family', 'fantasy', 'european']"
427,"['action', 'drama', 'comedy', 'reality', 'romance', 'thriller']"
428,"['romance', 'documentation', 'drama', 'european']"
429,"['comedy', 'documentation']"
430,"['drama', 'action', 'comedy', 'romance', 'crime']"
431,"['comedy', 'documentation']"
432,['comedy']
433,"['animation', 'comedy', 'family']"
434,"['romance', 'comedy', 'drama']"
435,"['comedy', 'drama']"
436,['comedy']
437,"['drama', 'music']"
438,['documentation']
439,"['fantasy', 'action', 'drama', 'animation']"
440,"['comedy', 'action']"
441,"['drama', 'comedy']"
442,"['comedy', 'crime']"
443,"['animation', 'action', 'fantasy']"
444,"['romance', 'comedy', 'drama', 'war']"
445,['comedy']
446,"['animation', 'family', 'european']"
447,"['comedy', 'documentation']"
448,"['fantasy', 'animation', 'action']"
449,"['fantasy', 'animation', 'action']"
450,"['thriller', 'crime', 'action', 'european']"
451,"['comedy', 'drama', 'romance']"
452,"['action', 'comedy', 'drama', 'fantasy', 'animation']"
453,"['drama', 'romance']"
454,"['fantasy', 'action', 'comedy', 'thriller']"
455,['animation']
456,"['animation', 'comedy', 'european']"
457,"['comedy', 'drama']"
458,"['comedy', 'action', 'romance']"
459,"['drama', 'comedy', 'european']"
460,"['action', 'crime', 'drama']"
461,"['war', 'documentation']"
462,"['drama', 'action', 'thriller', 'crime', 'comedy']"
463,"['action', 'drama', 'thriller', 'crime']"
464,"['fantasy', 'action', 'animation', 'romance', 'comedy']"
465,"['documentation', 'crime']"
466,['documentation']
467,"['action', 'comedy', 'scifi']"
468,"['romance', 'drama']"
469,"['animation', 'comedy', 'family']"
470,"['drama', 'thriller', 'crime']"
471,['documentation']
472,"['drama', 'comedy', 'romance']"
473,"['action', 'drama', 'thriller']"
474,"['comedy', 'documentation']"
475,"['drama', 'romance']"
476,"['comedy', 'fantasy', 'animation', 'action']"
477,"['drama', 'thriller', 'comedy']"
478,"['crime', 'action', 'drama', 'thriller']"
479,"['documentation', 'european']"
480,"['action', 'drama', 'crime', 'thriller', 'comedy']"
481,"['comedy', 'drama', 'romance']"
482,"['action', 'comedy', 'animation', 'drama', 'fantasy']"
483,"['comedy', 'action', 'crime', 'drama', 'thriller']"
484,"['drama', 'romance']"
485,"['drama', 'family', 'fantasy', 'comedy']"
486,"['action', 'animation']"
487,"['thriller', 'comedy', 'drama', 'romance']"
488,"['drama', 'romance', 'comedy']"
489,['comedy']
490,"['comedy', 'animation']"
491,"['comedy', 'drama', 'romance']"
492,"['drama', 'action', 'comedy', 'romance', 'thriller']"
493,"['drama', 'comedy']"
494,"['romance', 'drama', 'fantasy', 'comedy']"
495,"['drama', 'music']"
496,"['drama', 'comedy', 'crime', 'romance']"
497,"['comedy', 'drama', 'animation', 'action']"
498,"['comedy', 'drama', 'romance']"
499,"['crime', 'drama', 'action', 'thriller']"
500,"['music', 'drama', 'thriller']"
501,"['drama', 'european', 'family', 'war']"
502,"['romance', 'drama', 'comedy']"
503,['comedy']
504,"['animation', 'action', 'comedy']"
505,"['fantasy', 'action', 'comedy', 'drama', 'animation']"
506,"['comedy', 'drama', 'romance']"
507,"['drama', 'thriller', 'crime']"
508,['drama']
509,"['fantasy', 'animation', 'action', 'comedy']"
510,"['comedy', 'family', 'drama', 'romance']"
511,"['comedy', 'drama', 'romance']"
512,"['thriller', 'romance', 'drama']"
513,"['drama', 'romance', 'comedy']"
514,['drama']
515,"['comedy', 'romance']"
516,"['thriller', 'action', 'drama', 'crime', 'romance', 'sport']"
517,"['romance', 'comedy', 'drama']"
518,"['thriller', 'crime', 'drama', 'romance', 'action']"
519,"['drama', 'comedy']"
520,"['animation', 'fantasy', 'action', 'thriller']"
521,"['drama', 'comedy', 'romance', 'thriller', 'crime']"
522,"['comedy', 'crime']"
523,"['comedy', 'action', 'crime', 'drama']"
524,"['action', 'thriller', 'horror', 'scifi']"
525,"['action', 'crime', 'drama', 'history']"
526,"['drama', 'war', 'action']"
527,['documentation']
528,"['documentation', 'history', 'war', 'european']"
529,"['comedy', 'drama', 'romance']"
530,['comedy']
531,"['war', 'comedy', 'drama', 'european']"
532,['horror']
533,"['romance', 'drama']"
534,"['drama', 'family']"
535,"['horror', 'thriller', 'drama']"
536,"['comedy', 'documentation']"
537,['drama']
538,['animation']
539,"['comedy', 'documentation']"
540,"['comedy', 'drama', 'family']"
541,"['music', 'documentation']"
542,"['thriller', 'crime', 'drama', 'action']"
543,['comedy']
544,"['comedy', 'drama', 'thriller']"
545,['war']
546,['comedy']
547,"['thriller', 'crime', 'drama']"
548,['comedy']
549,"['drama', 'family', 'comedy']"
