,genres
298,"['war', 'documentation']"
299,['comedy']
300,"['comedy', 'animation', 'family', 'fantasy']"
301,"['comedy', 'romance']"
302,['western']
303,"['drama', 'war', 'history']"
304,"['western', 'drama', 'music', 'action']"
305,"['drama', 'romance', 'comedy']"
306,"['action', 'drama', 'romance']"
307,"['drama', 'romance', 'crime']"
308,"['western', 'action']"
309,"['romance', 'war', 'comedy', 'drama']"
310,['drama']
311,"['western', 'romance', 'action']"
312,"['thriller', 'crime', 'drama']"
313,['comedy']
314,"['thriller', 'crime', 'drama']"
315,"['drama', 'comedy']"
316,"['drama', 'war']"
317,"['drama', 'romance', 'comedy']"
318,"['romance', 'war', 'comedy']"
319,"['western', 'action', 'romance']"
320,"['comedy', 'action', 'crime']"
321,"['western', 'scifi', 'crime', 'romance']"
322,['action']
323,"['thriller', 'comedy', 'crime', 'drama']"
324,"['drama', 'romance']"
325,"['comedy', 'romance']"
326,['western']
327,"['western', 'comedy', 'drama', 'romance', 'action']"
328,['drama']
329,"['fantasy', 'drama']"
330,['western']
331,"['thriller', 'scifi']"
332,"['western', 'drama', 'romance', 'action', 'comedy']"
333,"['romance', 'thriller']"
334,"['thriller', 'drama']"
335,"['romance', 'comedy', 'music']"
336,"['comedy', 'romance', 'music', 'european']"
337,"['comedy', 'romance']"
338,"['western', 'action', 'music']"
339,"['drama', 'war']"
340,"['western', 'music', 'romance']"
341,"['comedy', 'sport', 'action', 'romance']"
342,"['war', 'romance', 'thriller', 'drama']"
343,"['comedy', 'romance']"
344,"['music', 'family', 'drama']"
345,['thriller']
346,"['comedy', 'drama', 'sport']"
347,"['romance', 'drama']"
348,"['drama', 'crime']"
349,['music']
350,"['romance', 'comedy']"
351,"['comedy', 'war', 'romance']"
352,"['romance', 'comedy']"
353,"['western', 'romance', 'action']"
354,"['comedy', 'music', 'sport']"
355,"['western', 'music', 'action']"
356,"['western', 'action', 'drama', 'music']"
357,['drama']
358,"['romance', 'western', 'action']"
359,['western']
360,"['thriller', 'action', 'crime', 'drama']"
361,['music']
362,"['western', 'romance', 'action', 'comedy', 'music']"
363,"['western', 'drama']"
364,"['western', 'action', 'comedy', 'romance']"
365,"['comedy', 'music', 'romance']"
366,"['action', 'romance', 'thriller', 'war']"
367,"['action', 'family']"
368,"['western', 'action', 'comedy', 'romance']"
369,"['western', 'music', 'action']"
370,"['comedy', 'sport', 'romance']"
371,"['thriller', 'romance']"
372,"['documentation', 'war']"
373,"['thriller', 'war']"
374,"['western', 'action']"
375,"['comedy', 'music', 'romance']"
376,"['western', 'action', 'crime', 'music']"
377,['western']
378,"['drama', 'romance', 'comedy']"
379,[]
380,['thriller']
381,"['drama', 'action', 'comedy']"
382,[]
383,"['western', 'romance']"
384,"['thriller', 'drama', 'crime']"
385,"['romance', 'drama']"
386,"['romance', 'comedy']"
387,"['drama', 'comedy']"
388,"['western', 'drama']"
389,"['drama', 'romance']"
390,"['thriller', 'action', 'crime', 'romance', 'comedy']"
391,"['romance', 'comedy', 'music']"
392,"['western', 'drama', 'action']"
393,"['war', 'documentation', 'history']"
394,"['drama', 'romance']"
395,"['western', 'action', 'music', 'comedy']"
396,"['western', 'romance', 'comedy']"
397,"['drama', 'western', 'romance']"
398,['drama']
399,"['crime', 'drama']"
400,['western']
401,"['western', 'action']"
402,['drama']
403,"['drama', 'romance', 'war']"
404,['western']
405,"['drama', 'crime']"
406,"['romance', 'thriller']"
407,['action']
408,['western']
409,"['drama', 'crime', 'romance', 'comedy']"
410,"['action', 'western', 'drama', 'romance', 'comedy']"
411,"['thriller', 'crime']"
412,['drama']
413,"['romance', 'comedy']"
414,"['western', 'comedy', 'music', 'romance']"
415,['drama']
416,"['romance', 'action', 'drama', 'sport']"
417,"['drama', 'sport']"
418,"['comedy', 'music']"
419,"['western', 'action', 'music']"
420,"['western', 'action', 'music']"
421,['drama']
422,['comedy']
423,"['western', 'action']"
424,"['western', 'action', 'music', 'romance', 'comedy']"
425,['comedy']
426,"['drama', 'war', 'thriller']"
427,"['crime', 'comedy', 'romance']"
428,"['crime', 'drama', 'romance', 'war']"
429,"['history', 'war', 'documentation']"
430,"['comedy', 'romance', 'war']"
431,"['comedy', 'romance']"
432,"['drama', 'action', 'war']"
433,"['drama', 'crime']"
434,"['crime', 'thriller', 'drama', 'action']"
435,"['western', 'drama']"
436,"['action', 'drama', 'western', 'crime', 'romance', 'sport']"
437,"['comedy', 'drama', 'sport']"
438,"['drama', 'crime', 'romance', 'thriller']"
439,"['western', 'action', 'music']"
440,"['drama', 'romance', 'sport', 'crime']"
441,"['western', 'drama', 'romance', 'action']"
442,"['comedy', 'romance']"
443,['western']
444,"['romance', 'drama']"
445,['action']
446,['drama']
447,"['comedy', 'crime', 'family']"
448,"['thriller', 'romance']"
449,"['action', 'drama', 'romance', 'thriller', 'war']"
450,"['drama', 'comedy']"
451,"['crime', 'comedy', 'drama']"
452,['thriller']
453,"['drama', 'action']"
454,"['drama', 'romance', 'crime']"
455,"['crime', 'drama', 'romance']"
456,"['western', 'comedy']"
457,['western']
458,"['western', 'music', 'action']"
459,"['comedy', 'drama']"
460,"['drama', 'comedy', 'romance']"
461,"['romance', 'crime', 'comedy']"
462,['comedy']
463,"['comedy', 'drama', 'western', 'action', 'romance']"
464,"['drama', 'comedy']"
465,"['drama', 'romance']"
466,"['thriller', 'action', 'crime', 'family']"
467,"['crime', 'drama', 'romance', 'action']"
468,['action']
469,"['romance', 'drama']"
470,"['comedy', 'music', 'romance']"
471,['crime']
472,"['romance', 'drama']"
473,"['drama', 'romance']"
474,"['comedy', 'western', 'action', 'drama', 'music']"
475,"['crime', 'family', 'action', 'drama']"
476,"['crime', 'drama', 'romance', 'thriller', 'comedy']"
477,['drama']
478,"['thriller', 'comedy']"
479,['western']
480,['western']
481,['drama']
482,"['romance', 'comedy']"
483,['drama']
484,"['thriller', 'drama']"
485,"['western', 'action', 'romance', 'drama']"
486,"['drama', 'comedy']"
487,"['western', 'romance']"
488,"['western', 'action', 'music', 'romance']"
489,"['western', 'drama', 'action']"
490,"['thriller', 'crime']"
491,"['drama', 'music']"
492,['western']
493,"['crime', 'comedy', 'drama', 'romance', 'sport']"
494,['drama']
495,"['drama', 'romance']"
496,['thriller']
497,"['comedy', 'crime', 'drama', 'romance']"
498,"['thriller', 'drama', 'crime']"
499,"['western', 'action', 'drama']"
500,"['crime', 'drama', 'romance']"
501,"['western', 'music', 'action']"
502,['crime']
503,['drama']
504,['comedy']
505,"['western', 'music']"
506,['drama']
507,"['western', 'action', 'romance']"
508,"['comedy', 'romance', 'action']"
509,"['western', 'music', 'action']"
510,"['western', 'action']"
511,['comedy']
512,['western']
513,"['drama', 'romance']"
514,"['drama', 'action', 'romance']"
515,"['western', 'comedy', 'action']"
516,"['crime', 'drama']"
517,"['romance', 'action', 'drama']"
518,"['romance', 'war', 'drama']"
519,"['comedy', 'music', 'romance', 'drama']"
520,['drama']
521,"['crime', 'drama']"
522,"['comedy', 'romance']"
523,"['crime', 'romance', 'drama']"
524,['documentation']
525,"['western', 'music', 'action']"
526,"['western', 'action', 'music', 'crime']"
527,['drama']
528,['drama']
529,"['comedy', 'drama']"
530,"['drama', 'romance', 'war']"
531,"['western', 'action', 'romance']"
532,"['romance', 'action', 'music']"
533,"['action', 'family', 'drama', 'war']"
534,"['drama', 'action', 'war']"
535,"['crime', 'drama']"
536,"['drama', 'romance']"
537,"['drama', 'romance', 'action', 'crime']"
538,['drama']
539,"['romance', 'drama']"
540,"['drama', 'romance', 'war', 'action', 'comedy']"
541,"['comedy', 'romance']"
542,['western']
543,"['thriller', 'crime', 'drama']"
544,"['romance', 'comedy']"
545,['drama']
546,"['drama', 'war', 'history', 'romance']"
547,"['thriller', 'romance', 'crime', 'music']"
548,"['western', 'romance', 'comedy']"
549,['drama']
550,"['western', 'drama', 'romance']"
551,"['western', 'music']"
552,['western']
553,"['documentation', 'war']"
554,"['drama', 'romance']"
555,"['drama', 'thriller', 'comedy', 'romance']"
556,"['western', 'action', 'drama', 'romance']"
557,"['comedy', 'drama', 'action']"
558,"['drama', 'action']"
559,['drama']
560,"['action', 'family', 'thriller', 'crime', 'drama']"
561,"['drama', 'action', 'western']"
562,"['thriller', 'comedy', 'drama', 'action']"
563,"['romance', 'comedy', 'sport']"
564,"['comedy', 'family']"
565,['comedy']
566,"['western', 'action', 'romance']"
567,"['western', 'action']"
568,['drama']
569,"['thriller', 'comedy', 'crime']"
570,['comedy']
571,"['crime', 'drama', 'romance', 'action']"
572,"['drama', 'war']"
573,['drama']
574,"['drama', 'action', 'crime']"
575,['western']
576,"['western', 'music', 'action']"
577,"['crime', 'comedy', 'drama', 'romance', 'sport', 'action']"
578,"['western', 'romance', 'comedy', 'action', 'music']"
579,"['action', 'war', 'drama']"
580,"['western', 'action']"
581,[]
582,"['romance', 'comedy', 'drama', 'thriller']"
583,"['western', 'action', 'romance']"
584,"['western', 'drama', 'music', 'action']"
585,"['crime', 'romance', 'drama']"
586,"['comedy', 'family', 'music']"
587,"['drama', 'western', 'comedy', 'romance', 'action']"
588,['western']
589,"['drama', 'romance']"
590,"['romance', 'action', 'drama']"
591,"['music', 'comedy', 'drama']"
592,"['crime', 'drama']"
593,['comedy']
594,"['western', 'drama', 'action']"
595,"['western', 'romance']"
596,"['action', 'comedy', 'music', 'romance']"
597,"['action', 'drama']"
598,"['thriller', 'action', 'drama']"
599,['comedy']
600,"['western', 'war']"
601,"['drama', 'comedy', 'western']"
602,"['western', 'romance', 'action']"
603,"['comedy', 'music', 'romance']"
604,"['western', 'romance', 'action', 'music']"
605,"['western', 'music', 'action', 'comedy']"
606,"['western', 'romance', 'drama']"
607,"['action', 'history', 'romance', 'war']"
608,['western']
609,"['western', 'romance', 'action']"
610,"['drama', 'music', 'romance', 'comedy']"
611,['western']
612,"['western', 'action', 'comedy', 'music']"
613,"['romance', 'drama']"
614,['comedy']
615,"['western', 'comedy', 'drama', 'action']"
616,"['crime', 'drama']"
617,"['drama', 'romance']"
618,"['comedy', 'music']"
619,"['thriller', 'crime']"
620,"['western', 'comedy', 'drama', 'action']"
621,"['crime', 'romance', 'comedy']"
622,"['western', 'drama', 'action']"
623,"['western', 'action', 'romance']"
624,"['western', 'action', 'drama', 'music']"
625,['comedy']
626,"['action', 'western']"
627,"['romance', 'music']"
628,"['action', 'romance', 'drama']"
629,"['western', 'action', 'drama']"
630,"['western', 'action']"
631,"['western', 'action', 'crime', 'romance']"
632,['western']
633,"['drama', 'crime', 'thriller']"
634,['drama']
635,"['western', 'comedy', 'music', 'romance', 'action']"
636,"['western', 'music', 'romance', 'action', 'comedy']"
637,"['western', 'action', 'drama', 'music']"
638,"['romance', 'drama', 'documentation']"
639,['drama']
640,[]
641,['thriller']
642,"['romance', 'drama', 'music']"
643,['western']
644,"['western', 'drama', 'action']"
645,"['drama', 'western', 'music', 'action']"
646,"['comedy', 'romance']"
647,['western']
648,['western']
649,"['western', 'crime', 'romance', 'action']"
650,"['drama', 'sport', 'crime', 'romance']"
651,"['crime', 'drama']"
652,"['documentation', 'war']"
653,"['crime', 'thriller', 'drama']"
654,"['western', 'action', 'romance']"
655,"['war', 'action', 'drama', 'romance']"
656,"['romance', 'comedy', 'drama']"
657,"['comedy', 'romance']"
658,"['romance', 'crime', 'drama', 'thriller']"
659,"['western', 'action', 'music']"
660,"['drama', 'romance', 'crime']"
661,"['crime', 'drama', 'romance']"
662,"['drama', 'crime', 'romance', 'sport', 'action']"
663,"['western', 'romance', 'action']"
664,['comedy']
665,"['drama', 'crime', 'thriller']"
666,"['western', 'comedy', 'romance', 'action']"
667,['comedy']
668,"['drama', 'crime', 'romance']"
669,"['comedy', 'drama', 'romance']"
670,"['action', 'drama', 'crime']"
671,"['romance', 'drama']"
672,['drama']
673,"['thriller', 'action', 'drama']"
674,['drama']
675,"['western', 'romance', 'action']"
676,"['drama', 'romance', 'action']"
677,"['western', 'action', 'comedy', 'drama']"
678,"['western', 'romance']"
679,"['drama', 'comedy', 'music']"
680,"['action', 'romance', 'western']"
681,['drama']
682,"['western', 'action']"
